gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BnaC08G0325400WE,62.88903969,0.849977386,0.256208629,3.317520525,0.000908202,0.025729449
BnaC08G0333300WE,52.08083038,1.019927695,0.280104387,3.641241411,0.000271327,0.011510515
BnaC08G0343500WE,129.5848094,-0.894895021,0.294723278,-3.036390702,0.002394289,0.049058051
BnaC08G0350500WE,117.0174002,-0.574983919,0.188232981,-3.054639602,0.002253311,0.047054863
BnaC08G0353600WE,264.5706396,-0.740049126,0.149776302,-4.941029503,7.77E-07,0.000136764
BnaC08G0359200WE,10.41481532,2.084815544,0.591734663,3.523227007,0.000426326,0.015712495
BnaC08G0361300WE,117.0870671,0.807103839,0.153392642,5.261685504,1.43E-07,3.37E-05
BnaC08G0375900WE,186.1615084,0.554281725,0.163242541,3.395449005,0.000685161,0.021457579
BnaC08G0383000WE,315.6547331,-0.509390191,0.140973243,-3.613382079,0.000302229,0.01238996
BnaC08G0385900WE,199.7331381,0.51889259,0.154736834,3.353387651,0.000798288,0.023644289
BnaC08G0386700WE,11.94057339,2.552110554,0.725019035,3.520060068,0.000431449,0.015825552
BnaC08G0387300WE,11.99331696,-3.209663734,0.638169814,-5.02948222,4.92E-07,9.42E-05
BnaC08G0393000WE,39.02620069,1.155017581,0.319976226,3.609698116,0.000306554,0.012520985
BnaC08G0394100WE,866.1477495,1.600417415,0.200051809,8.000014704,1.24E-15,1.63E-12
BnaC08G0394600WE,59.37561734,-0.666481034,0.217693882,-3.061551518,0.002201931,0.046342357
BnaC08G0396800WE,52.4859481,-1.920397142,0.508876035,-3.7738015,0.000160779,0.007844111
BnaC08G0400800WE,273.065889,-0.544022198,0.113894601,-4.776540684,1.78E-06,0.000274161
BnaC08G0406700WE,167.567342,-0.889825128,0.241906623,-3.678382663,0.000234718,0.010318297
BnaC08G0407200WE,87.64499005,1.469280522,0.339106921,4.332794257,1.47E-05,0.001404288
BnaC08G0408000WE,264.7780167,-0.58703997,0.17917905,-3.27627571,0.001051858,0.028209121
BnaC08G0416900WE,64.57904278,0.76030535,0.251123306,3.027617639,0.002464898,0.049705914
BnaC08G0426000WE,206.9184909,-0.525113423,0.145830008,-3.600859868,0.000317166,0.012791648
BnaC08G0434300WE,131.7753794,0.708992321,0.155045043,4.572815137,4.81E-06,0.00060318
BnaC08G0438900WE,123.3669924,0.724769029,0.219203716,3.306372009,0.000945125,0.026361125
BnaC08G0440700WE,32.87039864,-1.506894269,0.361883788,-4.164028116,3.13E-05,0.002417685
BnaC08G0441600WE,78.33236744,1.005116207,0.219879966,4.57120412,4.85E-06,0.000606382
BnaC08G0443700WE,23.43568389,-1.320304411,0.396025892,-3.333884066,0.000856423,0.02480022
